Company,Mission,Launch Pad,Date,Time,Details URL,Watch URL
SpaceX,Falcon Heavy | Europa Clipper,"LC-39A, Kennedy Space Center, Florida, USA","Mon Oct 14, 2024",10:06 AM GMT-6,https://nextspaceflight.com/launches/details/6818,https://www.youtube.com/watch?v=lQToTWKwtuw
Rocket Lab,"Electron/Curie | Owl For One, One For Owl","Rocket Lab LC-1B, Māhia Peninsula, New Zealand","Fri Aug 2, 2024",10:39 AM GMT-6,https://nextspaceflight.com/launches/details/7212,https://www.youtube.com/watch?v=ZdikUDvKYmc
SpaceX,Falcon 9 Block 5 | Starlink Group 10-6,"LC-39A, Kennedy Space Center, Florida, USA","Thu Aug 1, 2024",11:01 PM GMT-6,https://nextspaceflight.com/launches/details/7525,https://www.spacex.com/launches/mission/?missionId=sl-10-6
CASC,Long March 3B/E | WHG-02,"LC-2, Xichang Satellite Launch Center, China","Thu Aug 1, 2024",7:14 AM GMT-6,https://nextspaceflight.com/launches/details/7604,Unknown
ULA,Atlas V 551 | USSF-51,"SLC-41, Cape Canaveral SFS, Florida, USA","Tue Jul 30, 2024",4:45 AM GMT-6,https://nextspaceflight.com/launches/details/5055,https://www.youtube.com/watch?v=uhfwTfUseVw
SpaceX,Falcon 9 Block 5 | Starlink Group 9-4,"SLC-4E, Vandenberg SFB, California, USA","Sun Jul 28, 2024",3:22 AM GMT-6,https://nextspaceflight.com/launches/details/7523,https://www.spacex.com/launches/mission/?missionId=sl-9-4
SpaceX,Falcon 9 Block 5 | Starlink Group 10-4,"SLC-40, Cape Canaveral SFS, Florida, USA","Sat Jul 27, 2024",11:09 PM GMT-6,https://nextspaceflight.com/launches/details/7542,https://www.spacex.com/launches/mission/?missionId=sl-10-4
SpaceX,Falcon 9 Block 5 | Starlink Group 10-9,"LC-39A, Kennedy Space Center, Florida, USA","Fri Jul 26, 2024",11:45 PM GMT-6,https://nextspaceflight.com/launches/details/7531,https://www.spacex.com/launches/mission/?missionId=sl-10-9
CASC,Long March 4B | Gaofen-11 05,"LC-9, Taiyuan Satellite Launch Center, China","Thu Jul 18, 2024",9:03 PM GMT-6,https://nextspaceflight.com/launches/details/7600,Unknown
SpaceX,Falcon 9 Block 5 | Starlink Group 9-3,"SLC-4E, Vandenberg SFB, California, USA","Thu Jul 11, 2024",8:35 PM GMT-6,https://nextspaceflight.com/launches/details/7524,https://www.spacex.com/launches/mission/?missionId=sl-9-3
iSpace,Hyperbola 1 | Yunyao-1 15-17,"Site 95A, Jiuquan Satellite Launch Center, China","Wed Jul 10, 2024",5:40 PM GMT-6,https://nextspaceflight.com/launches/details/7596,Unknown
ESA,Ariane 62 | ESA Rideshares - Demo Flight,"ELA-4, Guiana Space Centre, French Guiana, France","Tue Jul 9, 2024",1:00 PM GMT-6,https://nextspaceflight.com/launches/details/444,https://www.youtube.com/watch?v=B0oFpOJaIYc
SpaceX,Falcon 9 Block 5 | Türksat 6A,"SLC-40, Cape Canaveral SFS, Florida, USA","Mon Jul 8, 2024",5:30 PM GMT-6,https://nextspaceflight.com/launches/details/6840,https://www.spacex.com/launches/mission/?missionId=turksat6a
CASC,Long March 6A | Tianhui 5 Group 02,"LC-9A, Taiyuan Satellite Launch Center, China","Thu Jul 4, 2024",4:49 PM GMT-6,https://nextspaceflight.com/launches/details/7594,Unknown
